name,category,price,stock,description,badge,brand,image
3PCS MAGNETIC NUT SOCKET SET 48MM 48MM*8MM,hand-tools,1,100,TOLSEN 3PCS MAGNETIC NUT SOCKET SET 48MM 48MM*8MM — magnetic nut setter/socket set for power drivers. Strong magnet holds fasteners for fast one-handed driving.,,TOLSEN,77823.png
Heating Torch With Handle 900mm,tools,4,100,"900mm heating torch with handle — for roofing, thawing, weed burning and heating jobs. Connects to LPG gas.",,Generic,SFETS900.png
Quick Rathchet Bar Clamp 6''-1,hand-tools,2.25,100,"Total 6' quick ratchet bar clamp — one-handed clamping for woodworking, gluing and assembly. Quick-release trigger.",,Total,THT1340601.png
CUP TWIST WIRE BRUSH WITH NUT 75MM(M10*1.5),hand-tools,1,100,"TOLSEN CUP TWIST WIRE BRUSH WITH NUT 75MM(M10*1.5) — wire brush for angle grinders and drills. Removes rust, paint, scale and weld spatter from metal surfaces.",,TOLSEN,77587.png
Heating Torch With Handle 570mm,tools,3.5,100,"570mm heating torch with handle — for roofing, thawing, weed burning and heating jobs. Connects to LPG gas.",,Generic,SFETS570.png
F clamp 140x1000mm,hand-tools,7.5,100,Total 140x1000 F-clamp — sliding arm bar clamp for woodworking and assembly. Strong grip over a wide capacity.,,Total,THT1321401.png
CUP WIRE BRUSH WITH NUT 75MM(M10 X 1.5),hand-tools,0.75,100,"TOLSEN CUP WIRE BRUSH WITH NUT 75MM(M10 X 1.5) — wire brush for angle grinders and drills. Removes rust, paint, scale and weld spatter from metal surfaces.",,TOLSEN,77581.png
W-Type Plate-Welding Plier,tools,2.75,100,W-type welding locking pliers — clamps plates and sections together for tack welding and assembly.,,Generic,sfayp10d.png
F clamp 120x500mm,hand-tools,5,100,Total 120x500 F-clamp — sliding arm bar clamp for woodworking and assembly. Strong grip over a wide capacity.,,Total,THT1321203.png
CIRCULAR GRINDING WIRE BRUSH 180MM,hand-tools,1.75,100,"TOLSEN CIRCULAR GRINDING WIRE BRUSH 180MM — wire brush for angle grinders and drills. Removes rust, paint, scale and weld spatter from metal surfaces.",,TOLSEN,77535.png
