name,category,price,stock,description,badge,brand,image
27*22*22cm Canvas Bag,hardware,2.5,100,FIXTEC 27*22*22cm Canvas Bag — durable jobsite storage with reinforced construction for carrying and organising tools.,,FIXTEC,FTB27.png
F clamp 50x200mm,hand-tools,1.5,100,Total 50x200 F-clamp — sliding arm bar clamp for woodworking and assembly. Strong grip over a wide capacity.,,Total,THT1320502.png
5Pcs Accessories for die grinder,tools,1.25,100,"Total die grinder accessory set — mounted grinding points for deburring, shaping and finishing metal.",,Total,TAKB0501.png
CUP TWIST WIRE BRUSH WITH NUT 125MM,hand-tools,2,100,"TOLSEN CUP TWIST WIRE BRUSH WITH NUT 125MM — wire brush for angle grinders and drills. Removes rust, paint, scale and weld spatter from metal surfaces.",,TOLSEN,77510.png
Auto-Darkening Welding Goggle,tools,5.5,100,"Total welding goggles — eye protection against sparks, spatter and harmful rays for welding and cutting work.",,Total,TSP9402.png
F clamp 50x150mm,hand-tools,1.5,100,Total 50x150 F-clamp — sliding arm bar clamp for woodworking and assembly. Strong grip over a wide capacity.,,Total,THT1320501.png
Tools Bag 16''-3,hardware,7.25,100,Milwaukee Tools Bag 16''-3 — durable jobsite storage with reinforced construction for carrying and organising tools.,,Milwaukee,40cm-Tote.png
CUP TWIST WIRE BRUSH WITH NUT 100MM,hand-tools,1.75,100,"TOLSEN CUP TWIST WIRE BRUSH WITH NUT 100MM — wire brush for angle grinders and drills. Removes rust, paint, scale and weld spatter from metal surfaces.",,TOLSEN,77509.png
Weld Joint Beveller 800W,tools,30,100,"DCA 800W weld joint beveller — prepares clean, consistent bevels on plate edges before welding.",,DCA,AJB3.png
G clamp 6''-1,hand-tools,3,100,Total 6' G-clamp — cast body with steel screw for securing workpieces to benches and surfaces.,,Total,THT13161.png
120 grit 100×610mm abrasive belt,tools,4.5,100,Makita 120 grit 100×610mm abrasive belt — abrasive sanding belt for belt sanders. Consistent grit for fast stock removal and finishing.,,Makita,P-36924.png
Tools Bag 16''-2,hardware,30,100,Milwaukee Tools Bag 16''-2 — durable jobsite storage with reinforced construction for carrying and organising tools.,,Milwaukee,4932464085.png
CUP TWIST WIRE BRUSH WITH NUT 75MM,hand-tools,1,100,"TOLSEN CUP TWIST WIRE BRUSH WITH NUT 75MM — wire brush for angle grinders and drills. Removes rust, paint, scale and weld spatter from metal surfaces.",,TOLSEN,77507.png
Weld Joint Beveller,tools,35,100,"DCA weld joint beveller — prepares clean, consistent bevels on plate edges before welding.",,DCA,AJB02-3.png
G clamp 5 inch,hand-tools,2.5,100,Total G-clamp — cast body with steel screw for securing workpieces to benches and surfaces.,,Total,THT13151.png
100 grit 100×610mm abrasive belt,tools,4.5,100,Makita 100 grit 100×610mm abrasive belt — abrasive sanding belt for belt sanders. Consistent grit for fast stock removal and finishing.,,Makita,P-36918.png
Tools Bag 20'',hardware,35,100,Milwaukee Tools Bag 20'' — durable jobsite storage with reinforced construction for carrying and organising tools.,,Milwaukee,4932464086.png
CUP WIRE BRUSH WITH NUT 100 MM,hand-tools,1.35,100,"TOLSEN CUP WIRE BRUSH WITH NUT 100 MM — wire brush for angle grinders and drills. Removes rust, paint, scale and weld spatter from metal surfaces.",,TOLSEN,77503.png
Inverter MMA welding machine 200A-1,tools,39,100,"Total Inverter MMA welding machine 200A-1 — inverter welding machine for workshop and site use. Stable arc, compact body and reliable performance.",,Total,TW220038.png
G clamp 4 inch,hand-tools,2.25,100,Total G-clamp — cast body with steel screw for securing workpieces to benches and surfaces.,,Total,THT13141.png
80 grit 100×610mm abrasive belt,tools,4.5,100,Makita 80 grit 100×610mm abrasive belt — abrasive sanding belt for belt sanders. Consistent grit for fast stock removal and finishing.,,Makita,P-36902.png
Tools Bag 10'',hardware,20,100,Milwaukee Tools Bag 10'' — durable jobsite storage with reinforced construction for carrying and organising tools.,,Milwaukee,4932464084.png
CUP WIRE BRUSH WITH NUT 75 MM,hand-tools,1,100,"TOLSEN CUP WIRE BRUSH WITH NUT 75 MM — wire brush for angle grinders and drills. Removes rust, paint, scale and weld spatter from metal surfaces.",,TOLSEN,77501.png
welding machine 2.5-4mm 40w,tools,75,100,"DCA welding machine 2.5-4mm 40w — inverter welding machine for workshop and site use. Stable arc, compact body and reliable performance.",,DCA,MMA200.png
60 grit 100×610mm abrasive belt,tools,4.5,100,Makita 60 grit 100×610mm abrasive belt — abrasive sanding belt for belt sanders. Consistent grit for fast stock removal and finishing.,,Makita,P-36893.png
BENCH VICE 6''-1,hand-tools,20,100,"6' bench vice — heavy cast body with anvil face and swivel base. Secure workholding for filing, cutting and assembly.",,Generic,BVH6.png
TOOL POUCH WITH BELT 13,hardware,2.75,100,TOLSEN TOOL POUCH WITH BELT 13 — durable jobsite storage with reinforced construction for carrying and organising tools.,,TOLSEN,80120.png
230*22.2MM DIAMOND CUTTING BLADE,hand-tools,3.5,100,"TOLSEN 230*22.2MM DIAMOND CUTTING BLADE — diamond blade for angle grinders and cutters. Fast, clean cuts in concrete, stone and masonry.",,TOLSEN,76707.png
Inverter MMA welding machine 180A-1,tools,29.75,100,"Total Inverter MMA welding machine 180A-1 — inverter welding machine for workshop and site use. Stable arc, compact body and reliable performance.",,Total,TW21806.png
40 grit 100×610mm abrasive belt,tools,4.5,100,Makita 40 grit 100×610mm abrasive belt — abrasive sanding belt for belt sanders. Consistent grit for fast stock removal and finishing.,,Makita,P-36887.png
BENCH VICE 4''-1,hand-tools,11.5,100,"4' bench vice — heavy cast body with anvil face and swivel base. Secure workholding for filing, cutting and assembly.",,Generic,BVH4.png
tools bag,hardware,8,100,Milwaukee tools bag — durable jobsite storage with reinforced construction for carrying and organising tools.,,Milwaukee,902033037.png
180*22.2MM DIAMOND CUTTING BLADE,hand-tools,2,100,"TOLSEN 180*22.2MM DIAMOND CUTTING BLADE — diamond blade for angle grinders and cutters. Fast, clean cuts in concrete, stone and masonry.",,TOLSEN,76705.png
WELDING MACHINE 250A MMA,tools,29,100,"Makute WELDING MACHINE 250A MMA — inverter welding machine for workshop and site use. Stable arc, compact body and reliable performance.",,Makute,250NEO.png
100pcs size 10 Wood Connector,tools,3.5,100,"Makita 100pcs size 10 Wood Connector — biscuit-style wood joining connectors for strong, hidden joints in panels and boards.",,Makita,p-08844.png
Quick Rathchet Bar Clamp 24'',hand-tools,3.5,100,"TOLSEN 24' quick ratchet bar clamp — one-handed clamping for woodworking, gluing and assembly. Quick-release trigger.",,TOLSEN,10207.png
TOOL BOX 495X200X290MM,hardware,6.5,100,TOLSEN 495X200 tool box — sturdy lockable storage with organiser tray for hand tools and accessories.,,TOLSEN,80212.png
9PCS BI-METAL HOLE SAW SET,hand-tools,9.25,100,"TOLSEN 9PCS BI-METAL HOLE SAW SET — bi-metal hole saw set with arbor for wood, plastic, drywall and thin metal. Multiple sizes in one kit.",,TOLSEN,75861.png
